url_path,views_total,views_unique
/norwegian-geotechnical-institute/geoinquire-va2-34-2,7,3
/norwegian-geotechnical-institute/geoinquire-va2-34-2/actions,6,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/actions/runs/17296804278,6,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/actions/workflows/github-repo-stats.yml,6,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/actions/runs/17296804278/job/49096937452,3,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/github-repo-stats/norwegian-geotechnical-institute/geoinquire-va2-34-2/latest-report/report.pdf,2,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/security,2,2
/norwegian-geotechnical-institute/geoinquire-va2-34-2/actions/new,2,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/blob/main/.github/workflows/github-repo-stats.yml,2,1
/norwegian-geotechnical-institute/geoinquire-va2-34-2/pulse,2,1
